slno,keywords_in_comments
7,
39,plants
68,tree
77,plants
90,"Name,plants,species"
91,"Name,plants,species"
92,"Name,plant,plants,species"
206,plant
291,plants
384,mansion
387,priest
416,mansion
421,"ardhacandrā,climbing,plant"
561,bird
573,plant
586,Yoga
590,"sect,Name"
593,"plant,vapya"
641,plant
642,plant
644,plant
653,"juice,tree"
654,plant
655,plants
656,plants
660,"sugar,species,cane"
701,plants
716,plant
753,"astrol,Yoga"
757,plants
852,
865,
949,Yoga
982,plants
1040,"bread,fruit,plants,tree"
1059,"bamboo,plants"
1064,"plants,species,pea"
1092,plants
1117,plant
1128,"walnut,plants,tree"
1176,"pigment,plant"
1202,"pomegranate,plants,tree"
1474,plants
1606,plants
1647,plants
1733,"plant,glutinosa"
1755,"(=,herb,pot"
1781,"plant,concinna"
1804,
1845,"plant,fruit"
1914,plant
1933,"auriculata,shrub"
1950,"fruit,acid,tree"
1996,"longum,plants"
2048,tree
2105,plant
2106,plant
2158,"Car,plant,fruit,dioeca"
2172,"plant,aphylla"
2180,"floribunda,tree"
2182,"plant,kind"
2234,"rosea,sap,plants"
2248,plants
2254,plants
2263,"plant,camels"
2266,"variety,herb,pot"
2267,plant
2268,plants
2286,"herb,pot"
2289,"linseed,plants"
2308,"species,tree"
2329,plant
2427,plant
2494,plant
2618,"plant,esculenta"
2670,"roots,plants"
2671,"kinds,grass,kind"
2683,plant
2698,plants
2734,plant
2785,mansions
2824,"tale,merchant"
2825,"place,pilgrimage,MBh"
2839,
2875,"plant,cucullata"
2989,"(=,vatī,ṭā,plants"
3001,"Car,plant,jata"
3015,mansion
3078,"word,accent"
3163,
3270,
3308,tree
3330,plant
3366,plant
3421,plants
3428,plants
3530,fish
3594,"teeth,wood,trees"
3601,"fruits,trees"
3608,grass
3659,"properties,plants"
3705,plants
3806,plants
3919,".,medic,plants"
3944,Yoga
3947,Yoga
3965,Yoga
3966,Yoga
3978,plant
3979,plant
3993,plants
4004,"fig,sev,plants,tree"
4005,"sev,plants"
4029,"sev,plants"
4044,"sev,plants"
4073,"sev,plants"
4106,tree
4229,"sev,plants"
4231,"constellation,appearance,moon"
4327,"mansion,πότνια"
4367,"sev,plants"
4368,"sev,plants"
4387,"Yoga,L."
4436,plants
4515,"days,year"
4591,"sev,plants"
4606,
4678,"sev,plants"
4679,"sev,plants"
4692,"sev,plants"
4734,plant
4749,house
4752,species
4759,
4775,root
4885,L.
4913,plants
4916,"ranga,part,raṅga"
4969,"divisions,courses"
4979,mansion
5002,"sev,plants"
5077,
5147,"rama,rāma"
5149,plants
5169,plants
5188,plants
5200,"variety,kinds,plants,species"
5201,plants
5219,plants
5245,tree
5307,"mahājumbū,cucumber,plants,species"
5355,plants
5435,"food,ashes,disease"
5543,
5573,
5591,"sev,plants"
5666,plants
5668,plants
5690,
5694,mansion
5722,"sev,plants"
5723,"sev,plants"
5724,"plants,L."
5811,conjunction
5814,
5833,"plants,species"
5851,plants
5970,"plants,L."
5988,plants
6016,Yoga
6036,"agent,blockhead,house,barbarian"
6046,"MBh,people"
6064,plants
6075,"agni,plants"
6091,
6116,"fugue,kind"
6129,Yoga
6184,"fugue,kind"
6185,Yoga
6334,"grass,s,species,°,plants"
6481,"plant,indigo,plants"
6494,Yoga
6525,"plants,species"
6531,"grape,vine,plants"
6566,"cucumber,plants,kind"
6578,"Car,accord,kind,tree"
6586,"nut,fruit,kind,n.,tree,accord"
6604,plants
6622,plants
6623,"eclipses,demon,moon,sun"
6644,
6668,plants
6670,drug
6682,"plants,tree"
6683,"myrobalan,plants,tree"
6697,"plants,L."
6701,town
6704,"MaitrS.,tree"
6719,"putra,plants,-,kandā"
6720,"turmeric,plants"
6725,sharngP.
6780,trees
6826,"rasna,nut,cocoa,tree,accord,plants,rāsnā"
6862,plants
6908,DeviP.
6917,"kinds,plant"
6918,"kinds,plant"
6933,"accord,plants,trees,MBh"
6953,plants
7002,"śūraṇa,plants"
7003,"cucumber,kind,L.,dill,gourd,plants"
7013,"Car,=,brāhmī,accord,plants,parni,atyamla"
7026,"reṇukā,kinds,vegetable,brāhrnī,accord,plants,turmeric,myrobalan,ginger,root,products"
7057,Yoga
7075,
7141,"accord,plants"
7149,"tree,accord,plants,citron"
7175,
7180,"flatulence,plants"
7216,plants
7224,"accord,plants"
7225,
7230,
7265,
7277,
7292,
7318,plants
7326,"accord,plants"
7332,"mouse,keeper,kind,mountain,salt,prostitute,catamite,tree,Name"
7476,"tamarind,plants"
7478,"plant,plants,śṛṅgī,karkaṭa"
7484,"shankha,kind,puṣpī,accord,plants,pushpi"
7498,plants
7499,"drug,drugs,plants"
7504,"plants,trees"
7556,plants
7564,"plant,plants,species"
7610,
7635,
7653,house
7657,Yoga
7724,MBh
7730,"animal,poison,trunk,aṃśa,rod,goose,attendant,tree,penis,accord,skate,Rakshasa,shiva,fish"
7903,"plants,kind"
7926,
7990,month
8014,"accord,plants"
8082,plants
8112,"accord,plants"
8142,"Name,night"
8189,"Car,junctions,vessels,veins,blood,nose"
8191,"plants,MBh"
8199,plants
8263,"apple,grass,plants"
8271,plants
8282,plants
8301,night
8302,Yoga
8313,
8314,"Car,rasna,accord,plants"
8338,"birch,accord,plants,tree"
8356,"variety,species,ghoshataki,plants,naga,fl"
8490,"jasmine,soap,plants,tree"
8493,
8499,"accord,plants"
8526,plants
8560,
8575,"accord,plants"
8579,"accord,plants"
8580,"VarBriS.,accord,plants"
8611,plants
8621,plants
8849,"plants,species"
8852,plants
8860,"jasmine,accord,plants"
8862,"accord,plants,wheat"
8863,"Car,herb,kind,accord,plants"
8881,"jasmine,plants,kind"
8883,plants
8896,plants
8929,"kind,substances,jasmine,accord,plants"
8930,plants
8955,plants
8961,plants
8972,plants
8976,plants
8977,plants
9057,"sort,plants"
9062,plants
9073,plants
9243,
9260,"Car,accord,plants,species"
9345,
9364,"accord,plants"
9405,"materia,glossary,medica"
9406,"materia,glossary,medica"
9412,"Car,flowers,plants"
9442,"nāga,bala,plants,naga"
9450,"syllable,sounds"
9451,aditya
9452,
9454,village
9455,river
9456,persons
9457,river
9458,sage
9459,king
9460,
9461,rishi
9462,prince
9464,pupils
9466,
9467,
9468,pupils
9469,teacher
9470,
9471,shiva
9472,
9473,
9474,mansions
9475,"PBr,man"
9476,
9477,PBr
